iter	Passed	Remaining
201	433	1712
202	434	1705
203	435	1698
204	436	1692
205	439	1693
206	440	1687
207	441	1681
208	442	1675
209	444	1671
210	445	1665
211	446	1659
212	447	1653
213	448	1646
214	449	1640
215	450	1634
216	453	1635
217	455	1632
218	456	1627
219	457	1622
220	458	1617
221	459	1611
222	460	1605
223	461	1599
224	462	1593
225	463	1587
226	464	1582
227	465	1576
228	468	1576
229	469	1572
230	471	1568
231	472	1563
232	473	1557
233	474	1552
234	475	1547
235	477	1545
236	478	1541
237	479	1535
238	481	1534
239	483	1532
240	485	1528
241	486	1523
242	487	1518
243	488	1513
244	489	1508
245	490	1504
246	491	1498
247	492	1493
248	493	1488
249	494	1483
250	497	1484
251	498	1479
252	499	1474
253	500	1469
254	502	1466
255	503	1463
256	504	1458
257	505	1454
258	507	1451
259	508	1448
260	511	1448
261	513	1446
262	514	1442
263	516	1439
264	517	1435
265	518	1431
266	519	1427
267	522	1426
268	523	1423
269	525	1421
270	528	1420
271	529	1416
272	530	1412
273	531	1409
274	532	1404
275	534	1400
276	535	1396
277	536	1392
278	537	1388
279	538	1384
280	540	1382
281	541	1379
282	543	1375
283	544	1372
284	545	1368
285	546	1365
286	547	1361
287	549	1357
288	550	1353
289	551	1350
290	552	1346
291	553	1342
292	556	1341
293	557	1339
294	558	1335
295	561	1336
296	563	1334
297	565	1331
298	566	1328
299	568	1325
300	572	1330
301	573	1326
302	575	1322
303	576	1319
304	577	1315
305	578	1312
306	580	1310
307	581	1307
308	583	1304
309	587	1306
310	588	1303
311	590	1302
312	591	1298
313	592	1295
314	593	1291
315	594	1287
316	595	1283
317	596	1280
318	597	1276
319	598	1272
320	601	1271
321	603	1269
322	604	1266
323	605	1263
324	606	1259
325	607	1256
326	608	1252
327	609	1249
328	610	1245
329	611	1241
330	612	1238
331	613	1234
332	616	1234
333	617	1232
334	618	1228
335	619	1224
336	620	1221
337	621	1217
338	622	1214
339	623	1210
340	624	1207
341	625	1203
342	626	1200
343	627	1196
344	628	1193
345	631	1194
346	633	1191
347	634	1188
348	635	1186
349	636	1182
350	637	1179
351	638	1176
352	640	1173
353	640	1169
354	641	1166
355	642	1162
356	643	1159
357	645	1158
358	647	1155
359	648	1153
360	649	1150
361	651	1147
362	652	1144
363	653	1141
364	654	1138
365	655	1134
366	656	1131
367	657	1128
368	659	1128
369	661	1126
370	662	1123
371	664	1121
372	665	1118
373	666	1115
374	667	1112
375	668	1109
376	669	1106
377	670	1103
378	671	1100
379	674	1100
380	676	1098
381	677	1096
382	678	1093
383	679	1090
384	680	1087
385	681	1084
386	682	1080
387	683	1077
388	684	1074
389	685	1071
390	686	1068
391	687	1065
392	690	1066
393	692	1064
394	693	1062
395	694	1058
396	695	1056
397	696	1053
398	697	1050
399	698	1047
400	698	1044
401	699	1041
402	700	1038
403	701	1035
404	703	1034
405	705	1032
406	706	1029
407	707	1026
408	709	1024
409	710	1022
410	711	1019
411	712	1016
412	713	1013
413	714	1010
414	715	1008
415	716	1005
416	718	1004
417	720	1002
418	721	1000
419	722	997
420	723	994
421	724	991
422	724	988
423	725	986
424	726	983
425	727	980
426	728	977
427	729	974
428	730	972
429	731	969
430	735	970
431	736	968
432	737	965
433	738	962
434	739	960
435	740	957
436	740	954
437	742	952
438	742	949
439	743	946
440	744	944
441	745	941
442	746	938
443	750	939
444	751	937
445	752	934
446	753	931
447	754	929
448	755	926
449	755	923
450	756	921
451	757	918
452	758	916
453	759	913
454	760	911
455	761	908
456	765	909
457	766	907
458	767	905
459	768	902
460	769	900
